card,date,t_2,t_4,t_6,t_7.313,t_8,t_10
MSD-1575,2022-06-02,0.0020833333333333333,0.0020833333333333333,0.0,0.0,0.0,0.0
MSD-1575,2022-06-03,0.0006944444444444445,0.0,0.0,0.0,0.0,0.0
MSD-1575,2022-06-04,0.001736111111111111,0.0,0.0,0.0,0.0,0.0
MSD-1575,2022-06-05,0.005208333333333333,0.0006944444444444445,0.0,0.0,0.0,0.0
MSD-1575,2022-06-06,0.0006944444444444445,0.0,0.0,0.0,0.0,0.0
MSD-1575,2022-06-07,0.00034722222222222224,0.0,0.0,0.0,0.0,0.0
MSD-1575,2022-06-08,0.00034722222222222224,0.00034722222222222224,0.0,0.0,0.0,0.0
MSD-1575,2022-06-09,0.00034722222222222224,0.0,0.0,0.0,0.0,0.0
MSD-1575,2022-06-10,0.0010416666666666667,0.00034722222222222224,0.0,0.0,0.0,0.0
MSD-1575,2022-06-11,0.0045138888888888885,0.003125,0.0024305555555555556,0.0020833333333333333,0.0010416666666666667,0.00034722222222222224
MSD-1575,2022-06-12,0.002777777777777778,0.0006944444444444445,0.0006944444444444445,0.0006944444444444445,0.00034722222222222224,0.0
MSD-1575,2022-06-13,0.0010416666666666667,0.00034722222222222224,0.0,0.0,0.0,0.0
MSD-1575,2022-06-14,0.010763888888888889,0.006597222222222222,0.0024305555555555556,0.001736111111111111,0.001736111111111111,0.00034722222222222224
MSD-1575,2022-06-15,0.005555555555555556,0.0038194444444444443,0.001736111111111111,0.001388888888888889,0.0006944444444444445,0.00034722222222222224
MSD-1575,2022-06-16,0.011111111111111112,0.005902777777777778,0.003472222222222222,0.0020833333333333333,0.001388888888888889,0.0006944444444444445
MSD-1575,2022-06-17,0.012847222222222222,0.007638888888888889,0.005208333333333333,0.003125,0.0024305555555555556,0.0010416666666666667
MSD-1575,2022-06-18,0.01423611111111111,0.004861111111111111,0.0006944444444444445,0.0,0.0,0.0
MSD-1575,2022-06-19,0.0045138888888888885,0.0024305555555555556,0.001736111111111111,0.00034722222222222224,0.0,0.0
MSD-1575,2022-06-20,0.0125,0.0020833333333333333,0.0010416666666666667,0.0,0.0,0.0
MSD-1575,2022-06-21,0.03090277777777778,0.009722222222222222,0.0024305555555555556,0.0006944444444444445,0.00034722222222222224,0.00034722222222222224
MSD-1575,2022-06-22,0.007638888888888889,0.003472222222222222,0.001388888888888889,0.0010416666666666667,0.00034722222222222224,0.0
MSD-1575,2022-06-23,0.0006944444444444445,0.0006944444444444445,0.0,0.0,0.0,0.0
MSD-1575,2022-06-24,0.0,0.0,0.0,0.0,0.0,0.0
MSD-1575,2022-06-25,0.0010416666666666667,0.00034722222222222224,0.0,0.0,0.0,0.0
MSD-1575,2022-06-26,0.0010416666666666667,0.0010416666666666667,0.00034722222222222224,0.0,0.0,0.0
MSD-1575,2022-06-27,0.001736111111111111,0.00034722222222222224,0.0,0.0,0.0,0.0
MSD-1575,2022-06-28,0.0010416666666666667,0.00034722222222222224,0.0,0.0,0.0,0.0
MSD-1575,2022-06-29,0.0006944444444444445,0.0,0.0,0.0,0.0,0.0
MSD-1575,2022-06-30,0.0,0.0,0.0,0.0,0.0,0.0
MSD-1575,2022-07-01,0.00034722222222222224,0.0,0.0,0.0,0.0,0.0
MSD-1575,2022-07-02,0.00034722222222222224,0.0,0.0,0.0,0.0,0.0
MSD-1575,2022-07-03,0.00034722222222222224,0.00034722222222222224,0.0,0.0,0.0,0.0
MSD-1575,2022-07-04,0.0006944444444444445,0.0,0.0,0.0,0.0,0.0
MSD-1575,2022-07-05,0.001736111111111111,0.00034722222222222224,0.0,0.0,0.0,0.0
MSD-1575,2022-07-06,0.0006944444444444445,0.0,0.0,0.0,0.0,0.0
MSD-1575,2022-07-07,0.0006944444444444445,0.0,0.0,0.0,0.0,0.0
MSD-1575,2022-07-08,0.0006944444444444445,0.0,0.0,0.0,0.0,0.0
MSD-1575,2022-07-09,0.0006944444444444445,0.0,0.0,0.0,0.0,0.0
MSD-1575,2022-07-10,0.0020833333333333333,0.0010416666666666667,0.00034722222222222224,0.0,0.0,0.0
MSD-1575,2022-07-11,0.0020833333333333333,0.0006944444444444445,0.00034722222222222224,0.0,0.0,0.0
MSD-1575,2022-07-12,0.0006944444444444445,0.00034722222222222224,0.0,0.0,0.0,0.0
MSD-1575,2022-07-13,0.0006944444444444445,0.00034722222222222224,0.0,0.0,0.0,0.0
MSD-1575,2022-07-14,0.0006944444444444445,0.0,0.0,0.0,0.0,0.0
MSD-1575,2022-07-15,0.0,0.0,0.0,0.0,0.0,0.0
MSD-1575,2022-07-16,0.00034722222222222224,0.0,0.0,0.0,0.0,0.0
MSD-1575,2022-07-17,0.001388888888888889,0.00034722222222222224,0.0,0.0,0.0,0.0
MSD-1575,2022-07-18,0.0024305555555555556,0.0,0.0,0.0,0.0,0.0
MSD-1575,2022-07-19,0.001388888888888889,0.0,0.0,0.0,0.0,0.0
MSD-1575,2022-07-20,0.00034722222222222224,0.0,0.0,0.0,0.0,0.0
MSD-1575,2022-07-21,0.001388888888888889,0.0,0.0,0.0,0.0,0.0
MSD-1575,2022-07-22,0.002325581395348837,0.0,0.0,0.0,0.0,0.0
